country,rank,timestamp,total.total,month,timeRange.start,timeRange.end
DE,1,1572566400000,722749000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
AT,2,1572566400000,76521000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
CH,3,1572566400000,51540000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
US,4,1572566400000,17975000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
RU,5,1572566400000,6469000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
--,6,1572566400000,4883000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
NL,7,1572566400000,4683000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
GB,8,1572566400000,4274000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
FR,9,1572566400000,4256000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
IT,10,1572566400000,3911000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
ES,11,1572566400000,2742000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
IE,12,1572566400000,2197000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
LU,13,1572566400000,2195000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
PL,14,1572566400000,2080000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
BE,15,1572566400000,1542000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
CZ,16,1572566400000,1461000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
SE,17,1572566400000,1415000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
CA,18,1572566400000,1188000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
IN,19,1572566400000,1144000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
HU,20,1572566400000,1103000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
DK,21,1572566400000,1102000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
JP,22,1572566400000,997000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
TH,23,1572566400000,893000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
EG,24,1572566400000,875000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
BG,25,1572566400000,855000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
BR,26,1572566400000,809000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
KR,27,1572566400000,750000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
RO,28,1572566400000,696000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
NO,29,1572566400000,691000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
VN,30,1572566400000,681000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
UA,31,1572566400000,655000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
AU,32,1572566400000,620000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
PT,33,1572566400000,591000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
HK,34,1572566400000,564000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
FI,35,1572566400000,543000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
MX,36,1572566400000,535000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
GR,37,1572566400000,511000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
IL,38,1572566400000,448000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
ID,39,1572566400000,438000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
TW,40,1572566400000,414000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
SK,41,1572566400000,392000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
HR,42,1572566400000,364000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
ZA,43,1572566400000,349000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
CO,44,1572566400000,349000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
AR,45,1572566400000,334000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
SG,46,1572566400000,310000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
LI,47,1572566400000,292000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
SI,48,1572566400000,284000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
RS,49,1572566400000,275000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
LA,50,1572566400000,269000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
AE,51,1572566400000,262000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
NZ,52,1572566400000,250000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
CL,53,1572566400000,230000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
TR,54,1572566400000,210000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
MA,55,1572566400000,199000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
BA,56,1572566400000,191000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
AL,57,1572566400000,182000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
MY,58,1572566400000,181000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
PH,59,1572566400000,176000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
LV,60,1572566400000,176000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
KH,61,1572566400000,157000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
LT,62,1572566400000,151000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
PE,63,1572566400000,144000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
EE,64,1572566400000,143000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
IR,65,1572566400000,130000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
AZ,66,1572566400000,108000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
BY,67,1572566400000,108000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
EC,68,1572566400000,100000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
NP,69,1572566400000,97000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
CR,70,1572566400000,97000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
GE,71,1572566400000,95000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
KZ,72,1572566400000,94000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
MD,73,1572566400000,86000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
CY,74,1572566400000,82000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
IS,75,1572566400000,80000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
MK,76,1572566400000,79000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
LK,77,1572566400000,77000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
PK,78,1572566400000,74000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
JO,79,1572566400000,74000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
MT,80,1572566400000,73000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
DO,81,1572566400000,73000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
BD,82,1572566400000,70000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
MU,83,1572566400000,69000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
TN,84,1572566400000,67000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
NA,85,1572566400000,64000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
PY,86,1572566400000,61000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
MV,87,1572566400000,61000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
SA,88,1572566400000,61000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
KE,89,1572566400000,57000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
BO,90,1572566400000,55000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
TZ,91,1572566400000,50000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
DZ,92,1572566400000,49000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
NG,93,1572566400000,49000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
OM,94,1572566400000,46000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
MM,95,1572566400000,45000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
UY,96,1572566400000,41000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
GT,97,1572566400000,39000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
PA,98,1572566400000,38000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
AM,99,1572566400000,36000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
AG,100,1572566400000,32000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
LB,101,1572566400000,32000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
IQ,102,1572566400000,32000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
SC,103,1572566400000,31000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
CV,104,1572566400000,30000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
AF,105,1572566400000,29000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
UZ,106,1572566400000,29000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
CN,107,1572566400000,28000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
KG,108,1572566400000,27000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
GH,109,1572566400000,26000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
ME,110,1572566400000,26000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
QA,111,1572566400000,25000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
UG,112,1572566400000,23000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
VE,113,1572566400000,23000,2019-11-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
