Article,Rating
Datenschutzrecht,4.23
Richtlinie 95/46/EG (Datenschutzrichtlinie),4.08
Datenschutz,4.08
Datenschutzerklärung,4.00
Datenschutz-Grundverordnung,3.92
Personenbezogene Daten,3.92
Datenschutz im Internet,3.85
Erhebung (Empirie),3.75
Gläserner Mensch (Datenschutz),3.69
Datenpanne,3.58
Datenvernichtung,3.58
Recht auf Vergessenwerden,3.58
Targeted Advertising,3.54
Arbeitnehmerdatenschutz,3.54
Europäischer Datenschutzausschuss,3.42
Europäischer Datenschutzbeauftragter,3.38
Privatsphäre,3.38
Children’s Online Privacy Protection Act,3.31
Bundesbeauftragter für den Datenschutz und die Informationsfreiheit,3.23
Eidgenössischer Datenschutz- und Öffentlichkeitsbeauftragter,3.23
Google LLC,3.23
Datenschutzrichtlinie für elektronische Kommunikation,3.23
Commission Nationale de l’Informatique et des Libertés,3.15
Data Protection Commissioner,3.08
European Digital Rights,3.08
Facebook,3.00
Anonymität,2.92
Edward Snowden,2.92
Verschlüsselung,2.92
Privacy International,2.92
Agentur der Europäischen Union für Cybersicherheit,2.92
Europarecht,2.83
Anonymisierung und Pseudonymisierung,2.83
Bankgeheimnis,2.77
Datenverarbeitung,2.77
Zustimmung,2.75
Cyberattacke,2.62
Blockchain,2.54
Datatilsynet (Dänemark),2.54
Abhören,2.54
Menschenrechte,2.54
Wahlgeheimnis,2.54
Agencia Española de Protección de Datos,2.54
WhatsApp,2.54
Verordnung (EU),2.50
Instagram,2.46
Microsoft,2.46
Telekommunikationsüberwachung,2.46
Charta der Grundrechte der Europäischen Union,2.42
Richtlinie (EU),2.42
Apple,2.38
Identitätsdiebstahl,2.38
Datatilsynet (Norwegen),2.38
Persönlichkeitsrecht,2.38
Datainspektionen,2.38
Cloud Computing,2.33
Amazon,2.31
Phishing,2.31
Dark Pattern,2.23
GAFAM,2.15
Electronic Frontier Foundation,2.15
Like (Button),2.15
Europäischer Verbraucherverband,2.08
Android (Betriebssystem),2.00
Brüssel-Effekt,2.00
Meme (Kulturphänomen),2.00
Panopticon,2.00
American Civil Liberties Union,1.92
Algorithmus,1.92
Bundesdatenschutzgesetz,1.85
Europäisches Parlament,1.85
"Ausschuss für bürgerliche Freiheiten, Justiz und Inneres",1.85
Information Commissioner,1.85
Amtsblatt der Europäischen Union,1.85
Europäische Union,1.83
Rat der Europäischen Union,1.77
Verordnung (EU) Nr. 910/2014 (eIDAS-Verordnung),1.77
Europäische Kommission,1.77
Wettbewerbsrecht (Europäische Union),1.77
Mark Zuckerberg,1.69
National Public Radio,1.69
Richard Stallman,1.69
Steueroase,1.69
Siri (Software),1.67
EU-Austritt des Vereinigten Königreichs,1.62
Trilog,1.62
Los Angeles Times,1.62
Royal Assent,1.62
USA Today,1.62
Internationales Management,1.58
BBC Radio 4,1.54
Binding Corporate Rules,1.54
Chicago Tribune,1.54
Klout,1.54
Liviu Dragnea,1.54
Start-up-Unternehmen,1.54
Tronc (Unternehmen),1.54
Tribunal,1.50
Instapaper,1.46
Norwegen,1.46
Baker McKenzie,1.38
Amtsblatt,1.38
Island,1.38
Max Schrems,1.38
NOYB,1.38
Europäischer Wirtschaftsraum,1.33
Kalifornien,1.31
Liechtenstein,1.31
British Airways,1.23
Ouija,1.23
One-Stop-Shop,1.17
Weihnachtsmann,1.15